Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time
2025-01-29,EZ-Bar Skullcrusher,Triceps,50.0,lbs,12,,,
2025-01-29,EZ-Bar Skullcrusher,Triceps,50.0,lbs,12,,,
2025-01-29,EZ-Bar Skullcrusher,Triceps,50.0,lbs,12,,,
2025-01-29,EZ-Bar Skullcrusher,Triceps,50.0,lbs,12,,,
2025-07-22,Flat Barbell Bench Press,Chest,70.0,lbs,12,,,
2025-07-22,Flat Barbell Bench Press,Chest,90.0,lbs,10,,,
2025-07-22,Flat Barbell Bench Press,Chest,90.0,lbs,7,,,
2025-07-22,Flat Barbell Bench Press,Chest,90.0,lbs,6,,,
2025-07-22,Seated Machine Fly,Chest,85.0,lbs,12,,,
2025-07-22,Seated Machine Fly,Chest,100.0,lbs,8,,,
2025-07-22,Seated Machine Fly,Chest,100.0,lbs,7,,,
2025-07-22,Incline Barbell Bench Press,Chest,90.0,lbs,11,,,
2025-07-22,Incline Barbell Bench Press,Chest,90.0,lbs,8,,,
2025-07-22,Incline Barbell Bench Press,Chest,90.0,lbs,9,,,
2025-07-23,Barbell Row,Back,65.0,lbs,12,,,
2025-07-23,Barbell Row,Back,75.0,lbs,12,,,
2025-07-23,Barbell Row,Back,85.0,lbs,10,,,
2025-07-23,Barbell Row,Back,85.0,lbs,9,,,
2025-07-23,Lat Pulldown,Back,57.5,lbs,12,,,
2025-07-23,Lat Pulldown,Back,70.0,lbs,12,,,
2025-07-23,Lat Pulldown,Back,80.0,lbs,9,,,
2025-07-23,Lat Pulldown,Back,80.0,lbs,6,,,
2025-07-23,Seated Low Row,Back,50.0,lbs,12,,,
2025-07-23,Seated Low Row,Back,50.0,lbs,12,,,
2025-07-23,Seated Low Row,Back,70.0,lbs,9,,,
2025-07-24,Seated Machine Curl,Biceps,60.0,lbs,12,,,
2025-07-24,Seated Machine Curl,Biceps,60.0,lbs,7,,,
2025-07-24,Seated Machine Curl,Biceps,60.0,lbs,6,,,
2025-07-24,Seated Machine Curl,Biceps,60.0,lbs,5,,,
2025-07-24,Long Head Cable Curl,Biceps,10.0,lbs,12,,,
2025-07-24,Long Head Cable Curl,Biceps,10.0,lbs,12,,,
2025-07-24,Long Head Cable Curl,Biceps,10.0,lbs,12,,,
2025-07-24,Hammer Curl,Biceps,30.0,lbs,12,,,
2025-07-24,Hammer Curl,Biceps,30.0,lbs,17,,,
2025-07-28,Flat Barbell Bench Press,Chest,90.0,lbs,8,,,
2025-07-28,Converging Shoulder Press,Shoulders,50.0,lbs,12,,,
2025-07-28,Converging Shoulder Press,Shoulders,60.0,lbs,8,,,
2025-07-28,Converging Shoulder Press,Shoulders,60.0,lbs,9,,,
2025-07-28,Converging Shoulder Press,Shoulders,60.0,lbs,5,,,
2025-07-28,Laterial Raise Machine,Shoulders,30.0,lbs,10,,,
2025-07-28,Laterial Raise Machine,Shoulders,30.0,lbs,12,,,
2025-07-28,Laterial Raise Machine,Shoulders,40.0,lbs,8,,,
2025-07-28,Laterial Raise Machine,Shoulders,40.0,lbs,8,,,
2025-07-29,Seated Machine Curl,Biceps,60.0,lbs,12,,,
2025-07-29,Seated Machine Curl,Biceps,60.0,lbs,10,,,
2025-07-29,Seated Machine Curl,Biceps,60.0,lbs,8,,,
2025-07-29,Seated Machine Curl,Biceps,60.0,lbs,7,,,
2025-07-29,Long Head Cable Curl,Biceps,30.0,lbs,6,,,
2025-07-29,Overhead Tricep Extension,Triceps,50.0,lbs,12,,,
2025-07-29,Long Head Cable Curl,Biceps,30.0,lbs,10,,,
2025-07-29,Overhead Tricep Extension,Triceps,70.0,lbs,12,,,
2025-07-29,Long Head Cable Curl,Biceps,30.0,lbs,10,,,
2025-07-29,Overhead Tricep Extension,Triceps,70.0,lbs,12,,,
2025-07-29,Long Head Cable Curl,Biceps,30.0,lbs,8,,,
2025-07-29,Overhead Tricep Extension,Triceps,70.0,lbs,9,,,
2025-07-29,Hammer Curl,Biceps,30.0,lbs,12,,,
2025-07-29,Tricep Pushdown,Triceps,30.0,lbs,12,,,
2025-07-29,Hammer Curl,Biceps,50.0,lbs,12,,,
2025-07-29,Tricep Pushdown,Triceps,30.0,lbs,12,,,
2025-07-29,Hammer Curl,Biceps,50.0,lbs,10,,,
2025-07-29,Tricep Pushdown,Triceps,30.0,lbs,20,,,
2025-08-04,Flat Barbell Bench Press,Chest,90.0,lbs,11,,,
2025-08-04,Flat Barbell Bench Press,Chest,90.0,lbs,10,,,
2025-08-04,Flat Barbell Bench Press,Chest,90.0,lbs,7,,,
2025-08-04,Flat Barbell Bench Press,Chest,90.0,lbs,5,,,
2025-08-04,Incline Barbell Bench Press,Chest,90.0,lbs,5,,,
2025-08-04,Incline Barbell Bench Press,Chest,90.0,lbs,8,,,
2025-08-04,Incline Barbell Bench Press,Chest,90.0,lbs,4,,,
2025-08-25,Flat Barbell Bench Press,Chest,50.0,lbs,12,,,
2025-08-25,Flat Barbell Bench Press,Chest,90.0,lbs,10,,,
2025-08-25,Flat Barbell Bench Press,Chest,90.0,lbs,7,,,
2025-08-25,Flat Barbell Bench Press,Chest,90.0,lbs,6,,,
2025-08-25,Incline Barbell Bench Press,Chest,90.0,lbs,6,,,
2025-08-25,Incline Barbell Bench Press,Chest,90.0,lbs,7,,,
2025-08-25,Incline Barbell Bench Press,Chest,90.0,lbs,5,,,
2025-08-26,Barbell Row,Back,65.0,lbs,12,,,
2025-08-26,Barbell Row,Back,95.0,lbs,10,,,
2025-08-26,Barbell Row,Back,95.0,lbs,8,,,
2025-08-26,Barbell Row,Back,95.0,lbs,7,,,
2025-08-26,Lat Pulldown,Back,70.0,lbs,12,,,
2025-08-26,Lat Pulldown,Back,80.0,lbs,12,,,
2025-08-26,Lat Pulldown,Back,80.0,lbs,12,,,
2025-08-26,Lat Pulldown,Back,80.0,lbs,7,,,
2025-08-26,Seated Low Row,Back,90.0,lbs,9,,,
2025-08-26,Seated Low Row,Back,90.0,lbs,8,,,
2025-08-26,Seated Low Row,Back,90.0,lbs,8,,,
2025-08-27,Hack Squat,Legs,5.0,lbs,8,,,
2025-08-27,Hack Squat,Legs,5.0,lbs,9,,,
2025-08-27,Hack Squat,Legs,5.0,lbs,7,,,
2025-08-27,Hack Squat,Legs,5.0,lbs,6,,,
2025-08-27,Leg Extension Machine,Legs,75.0,lbs,12,,,
2025-08-27,Leg Extension Machine,Legs,90.0,lbs,12,,,
2025-08-27,Leg Extension Machine,Legs,90.0,lbs,12,,,
2025-08-27,Leg Extension Machine,Legs,90.0,lbs,12,,,
2025-08-27,Lying Leg Curl Machine,Legs,50.0,lbs,8,,,
2025-08-27,Lying Leg Curl Machine,Legs,50.0,lbs,8,,,
2025-08-28,Converging Shoulder Press,Shoulders,60.0,lbs,12,,,
2025-08-28,Converging Shoulder Press,Shoulders,60.0,lbs,10,,,
2025-08-28,Converging Shoulder Press,Shoulders,60.0,lbs,5,,,
2025-08-28,Laterial Raise Machine,Shoulders,40.0,lbs,8,,,
2025-08-28,Laterial Raise Machine,Shoulders,40.0,lbs,12,,,
2025-08-28,Laterial Raise Machine,Shoulders,40.0,lbs,12,,,
2025-08-28,Laterial Raise Machine,Shoulders,40.0,lbs,12,,,
2025-08-28,Rear Delt Machine Fly,Shoulders,40.0,lbs,10,,,
2025-08-28,Rear Delt Machine Fly,Shoulders,40.0,lbs,10,,,
2025-08-28,Rear Delt Machine Fly,Shoulders,40.0,lbs,12,,,
2025-08-28,Dumbbell Rotator Cuff,Shoulders,5.0,lbs,12,,,
2025-08-28,Dumbbell Rotator Cuff,Shoulders,5.0,lbs,12,,,
2025-08-29,Jm Press,Triceps,45.0,lbs,4,,,
2025-08-29,Jm Press,Triceps,35.0,lbs,11,,,
2025-08-29,Jm Press,Triceps,35.0,lbs,10,,,
2025-08-29,Jm Press,Triceps,35.0,lbs,12,,,
2025-08-29,Seated Machine Curl,Biceps,60.0,lbs,12,,,
2025-08-29,Seated Machine Curl,Biceps,60.0,lbs,10,,,
2025-08-29,Seated Machine Curl,Biceps,60.0,lbs,8,,,
2025-08-29,Seated Machine Curl,Biceps,60.0,lbs,6,,,
2025-08-29,Long Head Cable Curl,Biceps,30.0,lbs,8,,,
2025-08-29,Overhead Tricep Extension,Triceps,70.0,lbs,12,,,
2025-08-29,Long Head Cable Curl,Biceps,30.0,lbs,10,,,
2025-08-29,Overhead Tricep Extension,Triceps,70.0,lbs,12,,,
2025-08-29,Long Head Cable Curl,Biceps,30.0,lbs,9,,,
2025-08-29,Overhead Tricep Extension,Triceps,70.0,lbs,11,,,
2025-08-29,Long Head Cable Curl,Biceps,30.0,lbs,8,,,
2025-08-29,Overhead Tricep Extension,Triceps,70.0,lbs,10,,,
2025-09-02,Flat Barbell Bench Press,Chest,90.0,lbs,12,,,
2025-09-02,Flat Barbell Bench Press,Chest,90.0,lbs,10,,,
2025-09-02,Flat Barbell Bench Press,Chest,90.0,lbs,8,,,
