"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Afternoon workout 💪","23 Apr 2026, 17:38","23 Apr 2026, 17:39","","Test Abs",,"",0,"normal",15,15,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Warm Up",,"",0,"normal",,,,300,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Warm Up",,"",1,"normal",,,,300,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Warm Up",,"",2,"normal",,,,300,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Bench Press (Barbell)",,"",0,"warmup",,10,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Bench Press (Barbell)",,"",1,"warmup",,4,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Bench Press (Barbell)",,"",2,"normal",125,10,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Bench Press (Barbell)",,"",3,"normal",125,10,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Bench Press (Barbell)",,"",4,"normal",125,10,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Shoulder Press (Dumbbell)",,"",0,"normal",,12,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Shoulder Press (Dumbbell)",,"",1,"normal",,12,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Shoulder Press (Dumbbell)",,"",2,"normal",,12,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Butterfly (Pec Deck)",,"",0,"normal",,15,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Butterfly (Pec Deck)",,"",1,"normal",,15,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Butterfly (Pec Deck)",,"",2,"normal",,15,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Lateral Raise (Dumbbell)",,"",0,"normal",,15,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Lateral Raise (Dumbbell)",,"",1,"normal",,15,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Lateral Raise (Dumbbell)",,"",2,"normal",,15,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Triceps Rope Pushdown",,"",0,"normal",,15,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Triceps Rope Pushdown",,"",1,"normal",,15,,,
"Push","23 Apr 2026, 17:22","23 Apr 2026, 17:37","","Triceps Rope Pushdown",,"",2,"normal",,15,,,
"Afternoon workout 💪","25 Feb 2026, 12:00","25 Feb 2026, 12:00","Poop","Bench Press (Barbell)",,"",0,"normal",125,12,,,
"Afternoon workout 💪","11 Feb 2026, 12:00","11 Feb 2026, 12:00","","Bench Press (Barbell)",,"",0,"normal",125,12,,,
"Afternoon workout 💪","11 Feb 2026, 12:00","11 Feb 2026, 12:00","","Bench Press (Barbell)",,"",1,"normal",125,12,,,
"Afternoon workout 💪","11 Feb 2026, 12:00","11 Feb 2026, 12:00","","Bench Press (Barbell)",,"",2,"normal",125,12,,,
